Author,Title,Year,Category,Url,Citations
"Roberts, Eric",The Dream of a Common Language: The Search for Simplicity and Stability in Computer Science Education,2004,FLP: general,http://doi.acm.org/10.1145/971300.971343,14
"DePasquale, Peter and Lee, John A. N. and P{\'e}rez-Qui\~{n}ones, Manuel A.",Evaluation of Subsetting Programming Language Elements in a Novice's Programming Environment,2004,FLP: other: language subsets,http://doi.acm.org/10.1145/971300.971392,3
"Bennedsen, Jens and Caspersen, Michael E.",Programming in Context: A Model-first Approach to CS1,2004,FLP: specific paradigms,http://doi.acm.org/10.1145/971300.971461,16
"Howe, Emily and Thornton, Matthew and Weide, Bruce W.",Components-first Approaches to CS1/CS2: Principles and Practice,2004,FLP: specific paradigms,http://doi.acm.org/10.1145/971300.971404,8
"Frens, Jeremy D.",Taming the Tiger: Teaching the Next Version of Java,2004,FLP: specific text-based languages,http://doi.acm.org/10.1145/971300.971356,2
"Mahmoud, Qusay H. and Dobosiewicz, Wlodek and Swayne, David","Redesigning Introductory Computer Programming with HTML, JavaScript, and Java",2004,FLP: specific text-based languages,http://doi.acm.org/10.1145/971300.971344,8
"Daly, Charlie and Waldron, John",Assessing the Assessment of Programming Ability,2004,LA: assessment: general,http://doi.acm.org/10.1145/971300.971375,15
"Edwards, Stephen H.",Using Software Testing to Move Students from Trial-and-error to Reflection-in-action,2004,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/971300.971312,75
"Chmiel, Ryan and Loui, Michael C.",Debugging: From Novice to Expert,2004,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/971300.971310,15
"Rich, Lauren and Perry, Heather and Guzdial, Mark",A CS1 Course Designed to Address Interests of Women,2004,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/971300.971370,73
"Moskal, Barbara and Lurie, Deborah and Cooper, Stephen",Evaluating the Effectiveness of a New Instructional Approach,2004,Students: other: (attitudes self-efficacy at-risk),http://doi.acm.org/10.1145/971300.971328,91
"McKinney, Dawn and Denton, Leo F.","Houston, We Have a Problem: There's a Leak in the CS1 Affective Oxygen Tank",2004,Students: predicting and measuring success,http://doi.acm.org/10.1145/971300.971386,19
"Ventura, Phil and Ramamurthy, Bina",Wanted: CS1 Students. No Experience Required,2004,Students: prior knowledge,http://doi.acm.org/10.1145/971300.971387,20
"Holliday, Mark A. and Luginbuhl, David",CS1 Assessment Using Memory Diagrams,2004,Teaching: aids examples tricks,http://doi.acm.org/10.1145/971300.971373,6
"K\""{o}lling, Michael and Barnes, David J.",Enhancing Apprentice-based Learning of Java,2004,Teaching: general,http://doi.acm.org/10.1145/971300.971403,12
"Reed, Dale and John, Sam and Aviles, Ryan and Hsu, Feihong",CFX: Finding Just the Right Examples for CS1,2004,Teaching: model problems and examples,http://doi.acm.org/10.1145/971300.971426,1
"Etheredge, Jim",CMeRun: Program Logic Debugging Courseware for CS1/CS2 Students,2004,Tools: debugging and testing,http://doi.acm.org/10.1145/971300.971311,7
"Proulx, Viera K. and Rasala, Richard",Java IO and Testing Made Simple,2004,Tools: debugging and testing,http://doi.acm.org/10.1145/971300.971358,3
"Reis, Charles and Cartwright, Robert",Taming a Professional IDE for the Classroom,2004,Tools: editors apis etc,http://doi.acm.org/10.1145/971300.971357,7
"Lewis, Tracy L. and Rosson, Mary Beth and P{\'e}rez-Qui\~{n}ones, Manuel A.",What Do the Experts Say?: Teaching Introductory Design from an Expert's Perspective,2004,Tools: other,http://doi.acm.org/10.1145/971300.971405,11
"Beck, Leland L. and Chizhik, Alexander W. and McElroy, Amy C.",Cooperative Learning Techniques in CS1: Design and Experimental Evaluation,2005,CA: other,http://doi.acm.org/10.1145/1047344.1047495,19
"Trytten, Deborah A.",A Design for Team Peer Code Review,2005,CA: other,http://doi.acm.org/10.1145/1047344.1047492,18
"Tew, Allison Elliott and Fowler, Charles and Guzdial, Mark",Tracking an Innovation in Introductory CS Education from a Research University to a Two-year College,2005,Content: other: media computation,http://doi.acm.org/10.1145/1047344.1047481,29
"McKinney, Dawn and Denton, Leo F.","Affective Assessment of Team Skills in Agile CS1 Labs: The Good, the Bad, and the Ugly",2005,Content: software engineering approaches,http://doi.acm.org/10.1145/1047344.1047494,7
"Dougherty, John P. and Wonnacott, David G.",Use and Assessment of a Rigorous Approach to CS1,2005,Content: upper level topics in CS1,http://doi.acm.org/10.1145/1047344.1047431,2
"Wick, Michael R.",Teaching Design Patterns in CS1: A Closed Laboratory Sequence Based on the Game of Life,2005,Content: upper level topics in CS1,http://doi.acm.org/10.1145/1047344.1047499,6
"Soh, Leen-Kiat and Samal, Ashok and Person, Suzette and Nugent, Gwen and Lang, Jeff",Closed Laboratories with Embedded Instructional Research Design for CS1,2005,DSA PS: labs,http://doi.acm.org/10.1145/1047344.1047448,5
"Dierbach, Charles and Taylor, Blair and Zhou, Harry and Zimand, Iliana",Experiences with a CS0 Course Targeted for CS1 Success,2005,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/1047344.1047453,10
"Hsia, James I. and Simpson, Elspeth and Smith, Daniel and Cartwright, Robert",Taming Java for the Classroom,2005,FLP: specific text-based languages,http://doi.acm.org/10.1145/1047344.1047459,7
"Traynor, Des and Gibson, J. Paul",Synthesis and Analysis of Automatic Assessment Methods in CS1: Generating Intelligent MCQs,2005,LA: assessment: automatic tutoring and assessment systems,http://doi.acm.org/10.1145/1047344.1047502,6
"Cohen, Robert F. and Fairley, Alexander V. and Gerry, David and Lima, Gustavo R.",Accessibility in Introductory Computer Science,2005,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/1047344.1047367,11
"Guzdial, Mark and Forte, Andrea",Design Process for a Non-majors Computing Course,2005,Students: non-majors,http://doi.acm.org/10.1145/1047344.1047468,40
"Lane, H. Chad and VanLehn, Kurt",Intention-based Scoring: An Approach to Measuring Success at Solving the Composition Problem,2005,Students: predicting and measuring success,http://doi.acm.org/10.1145/1047344.1047471,5
"Bergin, Susan and Reilly, Ronan",Programming: Factors That Influence Success,2005,Students: predicting and measuring success,http://doi.acm.org/10.1145/1047344.1047480,50
"Soh, Leen-Kiat and Samal, Ashok and Person, Suzette and Nugent, Gwen and Lang, Jeff","Designing, Implementing, and Analyzing a Placement Test for Introductory CS Courses",2005,Students: prior knowledge,http://doi.acm.org/10.1145/1047344.1047504,1
"Stevenson, Daniel E. and Wick, Michael R. and Ratering, Steven J.","Steganography and Cartography: Interesting Assignments That Reinforce Machine Representation, Bit Manipulation, and Discrete Structures Concepts",2005,Teaching: model problems and examples,http://doi.acm.org/10.1145/1047344.1047443,4
"Wicentowski, Richard and Newhall, Tia",Using Image Processing Projects to Teach CS1 Topics,2005,Teaching: model problems and examples,http://doi.acm.org/10.1145/1047344.1047445,14
"Califf, Mary Elaine and Goodwin, Mary",Effective Incorporation of Ethics into Courses That Focus on Programming,2005,Teaching: other: ethical and societal issues,http://doi.acm.org/10.1145/1047344.1047464,4
"Daly, Charlie and Horgan, Jane",Patterns of Plagiarism,2005,Teaching: other: plagiarism,http://doi.acm.org/10.1145/1047344.1047473,9
"Bruce, Kim B. and Danyluk, Andrea and Murtagh, Thomas",Why Structural Recursion Should Be Taught Before Arrays in CS 1,2005,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/1047344.1047430,6
"Bennedsen, Jens and Caspersen, Michael E.",Revealing the Programming Process,2005,Teaching: video,http://doi.acm.org/10.1145/1047344.1047413,19
"Gonzalez, Graciela",A Systematic Approach to Active and Cooperative Learning in CS1 and Its Effects on CS2,2006,CA: other,http://doi.acm.org/10.1145/1121341.1121386,22
"McKinney, Dawn and Denton, Leo F.",Developing Collaborative Skills Early in the CS Curriculum in a Laboratory Environment,2006,CA: other,http://doi.acm.org/10.1145/1121341.1121387,19
"Pedroni, Michela and Meyer, Bertrand",The Inverted Curriculum in Practice,2006,Content: other: media computation,http://doi.acm.org/10.1145/1121341.1121493,14
"Bower, Matt",Virtual Classroom Pedagogy,2006,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/1121341.1121390,8
"Roumani, Hamzeh",Practice What You Preach: Full Separation of Concerns in CS1/CS2,2006,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/1121341.1121495,5
"Chen, Tzu-Yi and Monge, Alvaro and Simon, Beth",Relationship of Early Programming Language to Novice Generated Design,2006,FLP: general,http://doi.acm.org/10.1145/1121341.1121496,3
"Reges, Stuart",Back to Basics in CS1 and CS2,2006,FLP: specific paradigms,http://doi.acm.org/10.1145/1121341.1121432,34
"Soh, Leen-Kiat",Incorporating an Intelligent Tutoring System into CS1,2006,LA: assessment: automatic tutoring and assessment systems,http://doi.acm.org/10.1145/1121341.1121494,4
"Roberts, Eric",An Interactive Tutorial System for Java,2006,LA: assessment: automatic tutoring and assessment systems,http://doi.acm.org/10.1145/1121341.1121447,2
"Peterson, Laurence I. and Benham, Dale",Overview of the cyberTech-ITEST Project: An Initiative to Attract and Prepare Under-represented Students for Tomorrow's Careers in the Computing Sciences,2006,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/1121341.1121480,1
"Bayliss, Jessica D. and Strout, Sean","Games As a ""Flavor"" of CS1",2006,Teaching: games,http://doi.acm.org/10.1145/1121341.1121498,55
"Bierre, Kevin and Ventura, Phil and Phelps, Andrew and Egert, Christopher",Motivating OOP by Blowing Things Up: An Exercise in Cooperation and Competition in an Introductory Java Programming Course,2006,Teaching: model problems and examples,http://doi.acm.org/10.1145/1121341.1121452,19
"DePasquale, Peter",Exploiting On-line Data Sources As the Basis of Programming Projects,2006,Teaching: model problems and examples,http://doi.acm.org/10.1145/1121341.1121430,7
"Decker, Adrienne and Ventura, Phil and Egert, Christopher",Through the Looking Glass: Reflections on Using Undergraduate Teaching Assistants in CS1,2006,Teaching: other: teaching assistants and mentors,http://doi.acm.org/10.1145/1121341.1121358,8
"Byckling, Pauli and Sajaniemi, Jorma",Roles of Variables and Programming Skills Improvement,2006,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/1121341.1121470,14
"Janzen, David S. and Saiedian, Hossein",Test-driven Learning: Intrinsic Integration of Testing into the CS/SE Curriculum,2006,Tools: debugging and testing,http://doi.acm.org/10.1145/1121341.1121419,32
"Bower, Matt",Groupwork Activities in Synchronous Online Classroom Spaces,2007,CA: other,http://doi.acm.org/10.1145/1227310.1227345,4
"Murtagh, Thomas P.",Weaving CS into CS1: A Doubly Depth-first Approach,2007,Content: other: breadth-first or depth-first CS1,http://doi.acm.org/10.1145/1227310.1227429,9
"Clifton, Curtis and Kaczmarczyk, Lisa C. and Mrozek, Michael",Subverting the Fundamentals Sequence: Using Version Control to Enhance Course Management,2007,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/1227310.1227344,8
"Powers, Kris and Ecott, Stacey and Hirshfield, Leanne M.",Through the Looking Glass: Teaching CS0 with Alice,2007,FLP: other: block languages,http://doi.acm.org/10.1145/1227310.1227386,31
"Layman, Lucas and Williams, Laurie and Slaten, Kelli",Note to Self: Make Assignments Meaningful,2007,LA: assessment: authentic assessment,http://doi.acm.org/10.1145/1227310.1227466,31
"Ma, Linxiao and Ferguson, John and Roper, Marc and Wood, Murray",Investigating the Viability of Mental Models Held by Novice Programmers,2007,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/1227310.1227481,26
"Townsend, Gloria Childress and Menzel, Suzanne and Siek, Katie A.",Leveling the CS1 Playing Field,2007,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/1227310.1227428,6
"Chen, Tzu-Yi and Lewandowski, Gary and McCartney, Robert and Sanders, Kate and Simon, Beth",Commonsense Computing: Using Student Sorting Abilities to Improve Instruction,2007,Students: predicting and measuring success,http://doi.acm.org/10.1145/1227310.1227408,8
"Wick, Michael R.",Bridging the Conceptual Gap: Assessing the Impact on Student Attitudes Toward Programming,2007,Students: prior knowledge: concept inventories; geek genes; misconceptions,http://doi.acm.org/10.1145/1227310.1227483,7
"Wortman, Dana and Rheingans, Penny",Visualizing Trends in Student Performance Across Computer Science Courses,2007,Students: retention,http://doi.acm.org/10.1145/1227310.1227458,4
"Boyer, Kristy Elizabeth and Dwight, Rachael S. and Miller, Carolyn S. and Raubenheimer, C. Dianne and Stallmann, Matthias F. and Vouk, Mladen A.",A Case for Smaller Class Size with Integrated Lab for Introductory Computer Science,2007,Students: retention,http://doi.acm.org/10.1145/1227310.1227430,10
"Turner, Elise H. and Albert, Erik and Turner, Roy M. and Latour, Laurence",Retaining Majors Through the Introductory Sequence,2007,Students: retention,http://doi.acm.org/10.1145/1227310.1227321,10
"Leutenegger, Scott and Edgington, Jeffrey",A Games First Approach to Teaching Introductory Programming,2007,Teaching: games,http://doi.acm.org/10.1145/1227310.1227352,71
"Murtagh, Thomas P.",Squint: Barely Visible Library Support for CS1,2007,Tools: libraries etc,http://doi.acm.org/10.1145/1227310.1227489,1
"Robbins, Steven",A Java Execution Simulator,2007,Tools: other,http://doi.acm.org/10.1145/1227310.1227491,2
"Beck, Leland L. and Chizhik, Alexander W.",An Experimental Study of Cooperative Learning in Cs1,2008,CA: other,http://doi.acm.org/10.1145/1352135.1352208,12
"Braught, Grant and Eby, L. Martin and Wahls, Tim",The Effects of Pair-programming on Individual Programming Skill,2008,CA: pair programming,http://doi.acm.org/10.1145/1352135.1352207,29
"Dodds, Zachary and Libeskind-Hadas, Ran and Alvarado, Christine and Kuenning, Geoff",Evaluating a Breadth-first Cs 1 for Scientists,2008,Content: other: breadth-first or depth-first CS1,http://doi.acm.org/10.1145/1352135.1352229,20
"Sloan, Robert H. and Troy, Patrick",CS 0.5: A Better Approach to Introductory Computer Science for Majors,2008,Content: other: media computation,http://doi.acm.org/10.1145/1352135.1352230,15
"Rao, T. M. and Mitra, Sandeep","An Early Software Engineering Approach to Teaching Cs1, Cs2 and Ai",2008,Content: software engineering approaches,http://doi.acm.org/10.1145/1352135.1352185,1
"Taylor, Blair and Azadegan, Shiva",Moving Beyond Security Tracks: Integrating Security in Cs0 and Cs1,2008,Content: upper level topics in CS1,http://doi.acm.org/10.1145/1352135.1352246,16
"Jin, Wei",Pre-programming Analysis Tutors Help Students Learn Basic Programming Concepts,2008,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/1352135.1352231,5
"Starr, Christopher W. and Manaris, Bill and Stalvey, RoxAnn H.",Bloom's Taxonomy Revisited: Specifying Assessable Learning Objectives in Computer Science,2008,DSA: other,http://doi.acm.org/10.1145/1352135.1352227,24
"Gries, David",A Principled Approach to Teaching OO First,2008,FLP: specific paradigms,http://doi.acm.org/10.1145/1352135.1352149,19
"Sanders, Kate and Boustedt, Jonas and Eckerdal, Anna and McCartney, Robert and Mostr\""{o}m, Jan Erik and Thomas, Lynda and Zander, Carol",Student Understanding of Object-oriented Programming As Expressed in Concept Maps,2008,FLP: specific paradigms,http://doi.acm.org/10.1145/1352135.1352251,20
"Sudol, Leigh Ann",Forging Connections Between Life and Class Using Reading Assignments: A Case Study,2008,LA: assessment: authentic assessment,http://doi.acm.org/10.1145/1352135.1352257,3
"Reges, Stuart","The Mystery of ""B := (B = False)""",2008,LA: assessment: exams,http://doi.acm.org/10.1145/1352135.1352147,13
"Cliburn, Daniel C. and Miller, Susan","Games, Stories, or Something More Traditional: The Types of Assignments College Students Prefer",2008,LA: assessment: general,http://doi.acm.org/10.1145/1352135.1352184,17
"Fu, Xiang and Peltsverger, Boris and Qian, Kai and Tao, Lixin and Liu, Jigang",APOGEE: Automated Project Grading and Instant Feedback System for Web Based Computing,2008,LA: assessment: other: automatic feedback and/or grading,http://doi.acm.org/10.1145/1352135.1352163,9
"Ma, Linxiao and Ferguson, John D. and Roper, Marc and Ross, Isla and Wood, Murray",Using Cognitive Conflict and Visualisation to Improve Mental Models Held by Novice Programmers,2008,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/1352135.1352253,9
"Nienaltowski, Marie-H{\'e}l\`{e}ne and Pedroni, Michela and Meyer, Bertrand",Compiler Error Messages: What Can Help Novices?,2008,LA: learning: errors,http://doi.acm.org/10.1145/1352135.1352192,21
"Murphy, Christian and Kim, Eunhee and Kaiser, Gail and Cannon, Adam",Backstop: A Tool for Debugging Runtime Errors,2008,LA: learning: errors,http://doi.acm.org/10.1145/1352135.1352193,7
"Pearce, Janice and Nakazawa, Mario",The Funnel That Grew Our Cis Major in the Cs Desert,2008,Students: retention,http://doi.acm.org/10.1145/1352135.1352304,15
"Repenning, Alexander and Ioannidou, Andri",Broadening Participation Through Scalable Game Design,2008,Teaching: games,http://doi.acm.org/10.1145/1352135.1352242,15
"Head, Christopher C. D. and Wolfman, Steven A.","Poogle and the Unknown-answer Assignment: Open-ended, Sharable Cs1 Assignments",2008,Teaching: model problems and examples,http://doi.acm.org/10.1145/1352135.1352183,3
"Sung, Kelvin and Panitz, Michael and Wallace, Scott and Anderson, Ruth and Nordlinger, John",Game-themed Programming Assignments: The Faculty Perspective,2008,Teaching: model problems and examples,http://doi.acm.org/10.1145/1352135.1352241,19
"Murphy, Laurie and Lewandowski, Gary and McCauley, Ren{\'e}e and Simon, Beth and Thomas, Lynda and Zander, Carol","Debugging: The Good, the Bad, and the Quirky -- a Qualitative Analysis of Novices' Strategies",2008,Tools: debugging and testing,http://doi.acm.org/10.1145/1352135.1352191,20
"Janzen, David and Saiedian, Hossein",Test-driven Learning in Early Programming Courses,2008,Tools: debugging and testing,http://doi.acm.org/10.1145/1352135.1352315,23
"Thornton, Matthew and Edwards, Stephen H. and Tan, Roy P. and P{\'e}rez-Qui\~{n}ones, Manuel A.",Supporting Student-written Tests of Gui Programs,2008,Tools: debugging and testing,http://doi.acm.org/10.1145/1352135.1352316,8
"Corliss, Marc L. and Lewis, E. Christopher","Bantam: A Customizable, Java-based, Classroom Compiler",2008,Tools: editors apis etc,http://doi.acm.org/10.1145/1352135.1352153,7
"Frost, Daniel","Ucigame, a Java Library for Games",2008,Tools: libraries etc,http://doi.acm.org/10.1145/1352135.1352243,2
"Hanks, Brian and Brandt, Matt",Successful and Unsuccessful Problem Solving Approaches of Novice Programmers,2009,CA: pair programming,http://doi.acm.org/10.1145/1508865.1508876,3
"Hanks, Brian and Murphy, Laurie and Simon, Beth and McCauley, Ren{\'e}e and Zander, Carol",CS1 Students Speak: Advice for Students by Students,2009,CA: peer instruction,http://doi.acm.org/10.1145/1508865.1508875,12
"Hundhausen, Christopher and Agrawal, Anukrati and Fairbrother, Dana and Trevisan, Michael",Integrating Pedagogical Code Reviews into a CS 1 Course: An Empirical Study,2009,Content: software engineering approaches,http://doi.acm.org/10.1145/1508865.1508972,21
"Stepp, Marty and Miller, Jessica and Kirst, Victoria","A ""CS 1.5"" Introduction to Web Programming",2009,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/1508865.1508908,12
"Gal-Ezer, Judith and Vilner, Tamar and Zur, Ela",Has the Paradigm Shift in CS1 a Harmful Effect on Data Structures Courses: A Case Study,2009,FLP: specific paradigms,http://doi.acm.org/10.1145/1508865.1508909,6
"Enbody, Richard J. and Punch, William F. and McCullen, Mark",Python CS1 As Preparation for C++ CS2,2009,FLP: specific text-based languages,http://doi.acm.org/10.1145/1508865.1508907,14
"Gehringer, Edward F. and Miller, Carolyn S.",Student-generated Active-learning Exercises,2009,LA: assessment: other: auto and student generated assignments,http://doi.acm.org/10.1145/1508865.1508897,10
"Cicirello, Vincent A.",On the Role and Effectiveness of Pop Quizzes in CS1,2009,LA: assessment: other: homework and quizzes,http://doi.acm.org/10.1145/1508865.1508971,3
"Philpott, Anne and Clear, Tony and Whalley, Jacqueline",Understanding Student Performance on an Algorithm Simulation Task: Implications for Guided Learning,2009,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/1508865.1509012,1
"Desai, Chetan and Janzen, David S. and Clements, John",Implications of Integrating Test-driven Development into CS1/CS2 Curricula,2009,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/1508865.1508921,22
"Cavender, Anna C. and Ladner, Richard E. and Roth, Robert I.",The Summer Academy for Advancing Deaf and Hard of Hearing in Computing,2009,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/1508865.1509043,4
"Fenwick,Jr., James B. and Norris, Cindy and Barry, Frank E. and Rountree, Josh and Spicer, Cole J. and Cheek, Scott D.",Another Look at the Behaviors of Novice Programmers,2009,Students: predicting and measuring success: programming process data,http://doi.acm.org/10.1145/1508865.1508973,15
"Murphy, Christian and Kaiser, Gail and Loveland, Kristin and Hasan, Sahar",Retina: Helping Students and Instructors Based on Observed Programming Activities,2009,Students: predicting and measuring success: programming process data,http://doi.acm.org/10.1145/1508865.1508929,24
"Barker, Lecia J. and McDowell, Charlie and Kalahar, Kimberly",Exploring Factors That Influence Computer Science Introductory Course Students to Persist in the Major,2009,Students: retention,http://doi.acm.org/10.1145/1508865.1508923,46
"Bayliss, Jessica D.",Using Games in Introductory Courses: Tips from the Trenches,2009,Teaching: games,http://doi.acm.org/10.1145/1508865.1508989,14
"Luxton-Reilly, Andrew and Denny, Paul",A Simple Framework for Interactive Games in CS1,2009,Teaching: games,http://doi.acm.org/10.1145/1508865.1508947,10
"Eagle, Michael and Barnes, Tiffany",Experimental Evaluation of an Educational Game for Improved Learning in Introductory Computing,2009,Teaching: games,http://doi.acm.org/10.1145/1508865.1508980,29
"Summet, Jay and Kumar, Deepak and O'Hara, Keith and Walker, Daniel and Ni, Lijun and Blank, Doug and Balch, Tucker",Personalizing CS1 with Robots,2009,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/1508865.1509018,43
"Lauwers, Tom and Nourbakhsh, Illah and Hamner, Emily",CSbots: Design and Deployment of a Robot Designed for the CS1 Classroom,2009,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/1508865.1509017,15
"McWhorter, William Isaac and O'Connor, Brian C.",Do LEGO\textregistered Mindstorms\textregistered Motivate Students in CS1?,2009,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/1508865.1509019,18
"Flatland, Robin Y. and Matthews, James R.",Using Modes of Inquiry and Engaging Problems to Link Computer Science and Mathematics,2009,Teaching: model problems and examples,http://doi.acm.org/10.1145/1508865.1509002,0
"Bennett, Chris and Urness, Timothy",Using Daily Student Presentations to Address Attitudes and Communication Skills in CS1,2009,Teaching: other,http://doi.acm.org/10.1145/1508865.1508896,3
"Goldwasser, Michael H. and Letscher, David",A Graphics Package for the First Day and Beyond,2009,Tools: libraries etc,http://doi.acm.org/10.1145/1508865.1508945,2
"Boland, Michael G. and Clifton, Curtis",Introducing PyLighter: Dynamic Code Highlighter,2009,Tools: other,http://doi.acm.org/10.1145/1508865.1509037,0
"Hundhausen, Christopher and Agrawal, Anukrati and Fairbrother, Dana and Trevisan, Michael",Does Studio-based Instruction Work in CS 1?: An Empirical Comparison with a Traditional Approach,2010,CA: other,http://doi.acm.org/10.1145/1734263.1734432,16
"Braught, Grant and MacCormick, John and Wahls, Tim",The Benefits of Pairing by Ability,2010,CA: pair programming,http://doi.acm.org/10.1145/1734263.1734348,12
"Simon, Beth and Kohanfars, Michael and Lee, Jeff and Tamayo, Karen and Cutts, Quintin",Experience Report: Peer Instruction in Introductory Computing,2010,CA: peer instruction,http://doi.acm.org/10.1145/1734263.1734381,43
"Hundhausen, Christopher and Agrawal, Anukrati and Ryan, Kyle",The Design of an Online Environment to Support Pedagogical Code Reviews,2010,Content: software engineering approaches,http://doi.acm.org/10.1145/1734263.1734324,8
"Bruce, Kim B. and Danyluk, Andrea and Murtagh, Thomas",Introducing Concurrency in CS 1,2010,Content: upper level topics in CS1,http://doi.acm.org/10.1145/1734263.1734341,13
"Hertz, Matthew","What Do ""CS1"" and ""CS2"" Mean?: Investigating Differences in the Early Courses",2010,DSA: general,http://doi.acm.org/10.1145/1734263.1734335,14
"Malan, David J.",Reinventing CS50,2010,DSA: general,http://doi.acm.org/10.1145/1734263.1734316,6
"Enbody, Richard J. and Punch, William F.",Performance of Python CS1 Students in Mid-level Non-python CS Courses,2010,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/1734263.1734437,6
"Ambr\'{o}sio, Ana Paula L. and Costa, F\'{a}bio M.",Evaluating the Impact of PBL and Tablet PCs in an Algorithms and Computer Programming Course,2010,DSA: other,http://doi.acm.org/10.1145/1734263.1734431,1
"Denny, Paul and Hanks, Brian and Simon, Beth",Peerwise: Replication Study of a Student-collaborative Self-testing Web Service in a U.S. Setting,2010,LA: assessment: other: auto and student generated assignments,http://doi.acm.org/10.1145/1734263.1734407,9
"Alvarado, Christine and Dodds, Zachary",Women in CS: An Evaluation of Three Promising Practices,2010,Students: gender diversity inclusion accessibililty,http://doi.acm.org/10.1145/1734263.1734281,28
"Tew, Allison Elliott and Guzdial, Mark",Developing a Validated Assessment of Fundamental CS1 Concepts,2010,Students: prior knowledge: concept inventories; geek genes; misconceptions,http://doi.acm.org/10.1145/1734263.1734297,41
"Kaczmarczyk, Lisa C. and Petrick, Elizabeth R. and East, J. Philip and Herman, Geoffrey L.",Identifying Student Misconceptions of Programming,2010,Students: prior knowledge: concept inventories; geek genes; misconceptions,http://doi.acm.org/10.1145/1734263.1734299,27
"Cutts, Quintin and Cutts, Emily and Draper, Stephen and O'Donnell, Patrick and Saffrey, Peter",Manipulating Mindset to Positively Influence Introductory Programming Performance,2010,Students: retention,http://doi.acm.org/10.1145/1734263.1734409,14
"Boyer, Kristy Elizabeth and Lahti, William and Phillips, Robert and Wallis, Michael D. and Vouk, Mladen A. and Lester, James C.",Principles of Asking Effective Questions During Student Problem Solving,2010,Teaching: aids examples tricks,http://doi.acm.org/10.1145/1734263.1734417,4
"Schuster, Daniel L.","CS1, Arcade Games and the Free Java Book",2010,Teaching: games,http://doi.acm.org/10.1145/1734263.1734445,3
"Hillyard, Cinnamon and Angotti, Robin and Panitz, Michael and Sung, Kelvin and Nordlinger, John and Goldstein, David",Game-themed Programming Assignments for Faculty: A Case Study,2010,Teaching: games,http://doi.acm.org/10.1145/1734263.1734358,6
"Chavey, Darrah P.",Double Sorting: Testing Their Sorting Skills,2010,Teaching: model problems and examples,http://doi.acm.org/10.1145/1734263.1734392,0
"Stepp, Michael and Simon, Beth",Introductory Computing Students' Conceptions of Illegal Student-student Collaboration,2010,Teaching: other: plagiarism,http://doi.acm.org/10.1145/1734263.1734365,6
"Tenenbaum, Aaron and Weiss, Gerald and Arnow, David",Monetary Values: Double Trouble or Dollars and Sense?,2010,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/1734263.1734391,0
"Carlisle, Martin C.",Using You Tube to Enhance Student Class Preparation in an Introductory Java Course,2010,Teaching: video,http://doi.acm.org/10.1145/1734263.1734419,5
"Radermacher, Alex D. and Walia, Gursimran S.",Investigating the Effective Implementation of Pair Programming: An Empirical Investigation,2011,CA: pair programming,http://doi.acm.org/10.1145/1953163.1953346,4
"Murphy, Christian and Powell, Rita and Parton, Kristen and Cannon, Adam",Lessons Learned from a PLTL-CS Program,2011,CA: peer instruction,http://doi.acm.org/10.1145/1953163.1953226,3
"VanDeGrift, Tammy and Caruso, Tamara and Hill, Natalie and Simon, Beth",Experience Report: Getting Novice Programmers to THINK About Improving Their Software Development Process,2011,Content: software engineering approaches,http://doi.acm.org/10.1145/1953163.1953307,7
"Garrity, Patrick and Yates, Timothy and Brown, Richard and Shoop, Elizabeth",WebMapReduce: An Accessible and Adaptable Tool for Teaching Map-reduce Computing,2011,Content: upper level topics in CS1,http://doi.acm.org/10.1145/1953163.1953221,16
